W1,W2,W3,W4,Cue_Word,Cue_Pos,Cue
煤气灶,方程式,菜市场,传叫士,4,0,传
免疫力,计算题,技术员,奴隶制,4,0,奴
研究生,玻璃杯,主人翁,抗生素,4,0,抗
进行曲,蒸馏水,西红柿,传感器,4,0,传
蒸馏水,加工厂,乘务员,留学生,4,0,留
青哨年,穿山甲,联合国,加工厂,4,0,加
消费者,写字台,玻璃杯,儿童节,4,0,儿
病原体,连锁店,传叫士,会议室,4,0,会
自来水,社会学,天花板,紫外线,4,0,紫
天花板,魔术师,建筑师,动物园,4,0,动
志愿军,录取线,实验室,民主党,4,0,民
人行道,儿童节,工艺品,收银台,4,0,收
检察官,招待所,出版社,签名册,4,0,签
紫外线,煤气灶,创造力,铁矿石,4,0,铁
海平面,新闻稿,紫外线,视网膜,4,0,视
接待室,联合国,广播站,火车票,4,0,火
反动派,免税店,荧光屏,自然界,4,0,自
责任感,技术员,招待所,重要性,4,0,重
科学馆,消费者,航天员,保险箱,4,0,保
出版社,录音机,菜市场,高利贷,4,0,高
绘画展,联合国,内分泌,研究生,4,0,研
创造力,自然界,公安局,普通话,4,0,普
农业社,鼓风机,理工科,录取线,4,0,录
高血压,视网膜,男籽汉,催化剂,4,0,催
面包机,催化剂,创造力,科学家,4,0,科
工艺品,生产线,畜牧业,煤气灶,4,0,煤
障碍物,研究生,耗奇心,人行道,4,0,人
交响悦,呼吸道,接待室,西红柿,4,0,西
障碍物,合唱团,公安局,录音机,4,0,录
紫外线,超声波,消费者,绘画展,4,0,绘
练习册,签名册,猫头鹰,广播站,4,0,广
笔记本,交响悦,同位素,魔术师,4,0,魔
实验室,奴隶制,补习班,高血压,4,0,高
同位素,相对论,签名册,天花板,4,0,天
普通话,风向标,自来水,发动机,4,0,发
救护车,太阳能,宇航员,单细胞,4,0,单
办事处,设计图,儿童节,婚姻法,4,0,婚
建设部,实验室,高血压,自来水,4,0,自
设计图,计算题,化妆品,银河系,4,0,银
神经元,党中央,抗生素,连锁店,4,0,连
工艺品,俱乐部,介绍信,爆破队,4,0,爆
纪念碑,储蓄卡,暴风雨,补习班,4,1,习
建筑师,爆破队,黑板报,加工厂,4,1,工
障碍物,广播剧,交通灯,检察官,4,1,察
志愿军,金黄色,救护车,放映厅,4,1,映
超声波,录取线,图书馆,广告牌,4,1,告
催化剂,广播剧,计算题,动物园,4,1,物
绘画展,交通灯,耗奇心,免税店,4,1,税
国务院,绘画展,自来水,鼓风机,4,1,风
公安局,紫外线,金黄色,旅游团,4,1,游
新闻稿,免税店,天花板,煤气灶,4,1,气
航天员,收银台,相对论,发动机,4,1,动
传感器,男籽汉,婚姻法,交响悦,4,1,响
绘画展,营业员,蒸馏水,广播剧,4,1,播
婚姻法,菜市场,感染源,教师节,4,1,师
练习册,同位素,写字台,创造力,4,1,造
计算题,放大镜,人行道,实验室,4,1,验
猫头鹰,排球赛,储蓄卡,艺术品,4,1,术
保险箱,写字台,自来水,同位素,4,1,位
视网膜,免疫力,耗奇心,建设部,4,1,设
金黄色,录取线,合唱团,党中央,4,1,中
男籽汉,教师节,鼓风机,传叫士,4,1,叫
同位素,保温杯,创造力,天花板,4,1,花
留学生,反动派,新闻稿,铁矿石,4,1,矿
传感器,排球赛,招待所,签名册,4,1,名
广播站,绘画展,高利贷,马铃薯,4,1,铃
猫头鹰,男籽汉,科学馆,建筑师,4,1,筑
科学家,营业员,感染源,方程式,4,1,程
研究生,银河系,科学馆,荧光屏,4,1,光
望远镜,催化剂,排球赛,计算题,4,1,算
变压器,内分泌,计算题,研究生,4,1,究
责任感,连锁店,办事处,电冰箱,4,1,冰
参考书,儿童节,参谋掌,办事处,4,1,事
传感器,蒸馏水,冷空气,绘画展,4,1,画
西红柿,摄影师,男籽汉,感染源,4,1,染
西红柿,营业员,男籽汉,保温杯,4,1,温
普通话,艺术品,天花板,超声波,4,1,声
西红柿,广播站,耗奇心,连锁店,4,1,锁
反动派,收音机,保温杯,摄影师,4,1,影
放映厅,参考书,同位素,招待所,4,1,待
超声波,宇航员,科学馆,出版社,4,1,版
运输车,方程式,催化剂,反动派,4,1,动
黑板报,化妆品,留学生,加工厂,4,2,厂
收银台,参考书,儿童节,计算题,4,2,题
实验室,防火墙,录取线,打字员,4,2,员
航天员,设计图,玻璃杯,收音机,4,2,机
风向标,生产线,发动机,相对论,4,2,论
发动机,电冰箱,救护车,穿山甲,4,2,甲
党中央,旅游团,宇航员,荧光屏,4,2,屏
排球赛,高血压,价值观,运输车,4,2,车
黑板报,接待室,参谋掌,出版社,4,2,社
海平面,救护车,直辖市,奴隶制,4,2,制
障碍物,蒸馏水,暴风雨,高血压,4,2,压
签名册,补习班,留学生,风向标,4,2,标
介绍信,发动机,笔记本,摄影师,4,2,师
反动派,风向标,毕业证,图书馆,4,2,馆
动物园,核电站,畜牧业,合唱团,4,2,团
感染源,保温杯,参谋掌,放大镜,4,2,镜
天花板,免疫力,绘画展,社会学,4,2,学
男籽汉,变压器,交响悦,锦标赛,4,2,赛
摄影师,呼吸道,收银台,婚姻法,4,2,法
志愿军,穿山甲,锦标赛,菜市场,4,2,场
电动车,摄影师,风向标,航天员,4,2,员
高血压,广播剧,广播站,农业社,4,2,社
金黄色,图书馆,公安局,会议室,4,2,室
进行曲,农业社,煤气灶,补习班,4,2,班
工艺品,护理员,保险箱,排球赛,4,2,赛
感染源,内分泌,人行道,幼儿园,4,2,园
望远镜,单细胞,收银台,马铃薯,4,2,薯
建筑师,普通话,核电站,氨基酸,4,2,酸
手榴弹,参考书,爆破队,旅游团,4,2,团
责任感,保温杯,天花板,青哨年,4,2,年
营业员,录取线,暴风雨,玻璃杯,4,2,杯
单细胞,销售额,宇航员,望远镜,4,2,镜
冷空气,太阳能,责任感,国务院,4,2,院
广播剧,社会学,毕业证,志愿军,4,2,军
技术员,耗奇心,签名册,乘务员,4,2,员
火车票,西红柿,科学家,男籽汉,4,2,汉
运输车,玻璃杯,免税店,猫头鹰,4,2,鹰
天花板,面包机,化妆品,变压器,4,2,器
淋巴结,呼吸道,传感器,研究生,4,2,生
青哨年,收音机,广播剧,障碍物,4,2,物
创造力,检察官,写字台,毕业证,4,2,证
