W1,W2,W3,Cue_Word,Cue_Pos,Cue
普通话,灵敏度,代表团,1,1,通
金黄色,荧光屏,病原体,1,1,黄
手榴弹,马铃薯,内分泌,1,1,榴
销售额,神经元,太阳能,1,1,售
变压器,志愿军,科学家,1,1,压
会议室,图书馆,暴风雨,1,2,室
工艺品,西红柿,高利贷,1,2,品
锦标赛,婚姻法,介绍信,1,2,赛
代表团,神经元,笔记本,1,2,团
望远镜,电冰箱,俱乐部,1,2,镜
耗奇心,普通话,畜牧业,1,2,心
神经元,西红柿,相对论,1,2,元
重要性,紫外线,电冰箱,1,2,性
多边形,婚姻法,工艺品,1,2,形
方程式,创造力,重要性,1,2,式
党中央,猫头鹰,写字台,1,2,央
反动派,银河系,病原体,1,2,派
西红柿,多边形,招待所,1,2,柿
志愿军,高利贷,普通话,1,2,军
公安局,写字台,传叫士,1,2,局
马铃薯,荧光屏,变压器,1,2,薯
金黄色,党中央,障碍物,1,2,色
氨基酸,视网膜,超声波,1,2,酸
蒸馏水,乒乓球,责任感,1,2,水
呼吸道,金黄色,望远镜,1,2,道
志愿军,太阳能,俱乐部,1,2,军
直辖市,公安局,天花板,1,2,市
银河系,电冰箱,宇航员,1,2,系
交响悦,自然界,会议室,1,2,悦
责任感,穿山甲,党中央,1,2,感
自然界,畜牧业,价值观,1,2,界
图书馆,紫外线,志愿军,1,2,馆
国务院,重要性,呼吸道,1,2,院
电冰箱,蒸馏水,催化剂,1,2,箱
内分泌,科学家,方程式,1,2,泌
淋巴结,国务院,传叫士,1,2,结
价值观,青哨年,畜牧业,1,2,观
金黄色,公安局,党中央,1,2,色
海平面,氨基酸,传叫士,1,2,面
招待所,畜牧业,呼吸道,1,2,所
俱乐部,志愿军,耗奇心,1,2,部
销售额,主人翁,金黄色,1,2,额
耗奇心,神经元,公安局,1,2,心
传叫士,荧光屏,呼吸道,1,2,士
青哨年,手榴弹,奴隶制,1,2,年
进行曲,写字台,超声波,1,2,曲
病原体,研究生,单细胞,1,2,体
冷空气,党中央,写字台,1,2,气
同位素,多边形,铁矿石,1,2,素
西红柿,荧光屏,锦标赛,1,2,柿
葡萄糖,多边形,销售额,1,2,糖
银河系,乒乓球,灵敏度,1,2,系
变压器,公安局,直辖市,1,2,器
图书馆,荧光屏,同位素,1,2,馆
参谋掌,望远镜,婚姻法,1,2,掌
多边形,魔术师,呼吸道,1,2,形
畜牧业,自然界,国务院,1,2,业
相对论,检察官,主人翁,1,2,论
笔记本,写字台,视网膜,1,2,本
单细胞,超声波,图书馆,1,2,胞
葡萄糖,天花板,锦标赛,1,2,糖
宇航员,障碍物,会议室,1,2,员
内分泌,代表团,望远镜,1,2,泌
自然界,视网膜,神经元,1,2,界
淋巴结,出版社,研究生,1,2,结
检察官,多边形,单细胞,1,2,官
方程式,电冰箱,反动派,1,2,式
马铃薯,畜牧业,耗奇心,1,2,薯
障碍物,重要性,科学家,1,2,物
招待所,青哨年,冷空气,1,2,所
男籽汉,金黄色,淋巴结,1,2,汉
冷空气,写字台,电冰箱,1,2,气
工艺品,方程式,太阳能,1,2,品
消费者,录音机,魔术师,1,2,者
锦标赛,国务院,笔记本,1,2,赛
重要性,宇航员,电冰箱,1,2,性
青哨年,高利贷,耗奇心,1,2,年
银河系,反动派,国务院,2,0,反
望远镜,金黄色,俱乐部,2,0,金
畜牧业,灵敏度,病原体,2,0,灵
志愿军,检察官,多边形,2,0,检
天花板,研究生,方程式,2,0,研
消费者,男籽汉,招待所,2,0,男
志愿军,氨基酸,手榴弹,2,0,氨
国务院,多边形,天花板,2,0,多
望远镜,金黄色,代表团,2,0,金
直辖市,穿山甲,主人翁,2,0,穿
销售额,责任感,魔术师,2,0,责
淋巴结,交响悦,超声波,2,0,交
耗奇心,障碍物,手榴弹,2,0,障
介绍信,海平面,金黄色,2,0,海
创造力,进行曲,荧光屏,2,0,进
招待所,公安局,银河系,2,0,公
销售额,进行曲,笔记本,2,0,进
望远镜,同位素,代表团,2,0,同
直辖市,录音机,天花板,2,0,录
高利贷,超声波,畜牧业,2,0,超
重要性,耗奇心,代表团,2,0,耗
障碍物,冷空气,传叫士,2,0,冷
金黄色,蒸馏水,灵敏度,2,0,蒸
进行曲,猫头鹰,手榴弹,2,0,猫
变压器,传叫士,婚姻法,2,0,传
耗奇心,乒乓球,望远镜,2,0,乒
进行曲,障碍物,太阳能,2,0,障
病原体,暴风雨,穿山甲,2,0,暴
进行曲,青哨年,太阳能,2,0,青
自然界,会议室,奴隶制,2,0,会
同位素,代表团,葡萄糖,2,0,代
氨基酸,单细胞,海平面,2,0,单
幼儿园,穿山甲,直辖市,2,0,穿
宇航员,锦标赛,参谋掌,2,0,锦
暴风雨,公安局,直辖市,2,0,公
出版社,检察官,代表团,2,0,检
自然界,会议室,氨基酸,2,0,会
变压器,写字台,障碍物,2,0,写
多边形,魔术师,婚姻法,2,0,魔
志愿军,畜牧业,参谋掌,2,0,畜
马铃薯,招待所,天花板,2,0,招
录音机,病原体,代表团,2,0,病
价值观,招待所,乒乓球,2,0,招
穿山甲,病原体,反动派,2,0,病
公安局,笔记本,猫头鹰,2,0,笔
荧光屏,价值观,录音机,2,0,价
宇航员,图书馆,西红柿,2,0,图
猫头鹰,自然界,志愿军,2,0,自
方程式,反动派,超声波,2,0,反
内分泌,俱乐部,进行曲,2,0,俱
金黄色,主人翁,马铃薯,2,0,主
介绍信,直辖市,变压器,2,0,直
催化剂,耗奇心,葡萄糖,2,0,耗
价值观,银河系,参谋掌,2,0,银
党中央,手榴弹,病原体,2,0,手
方程式,幼儿园,金黄色,2,0,幼
紫外线,马铃薯,蒸馏水,2,0,马
价值观,传叫士,超声波,2,0,传
乒乓球,手榴弹,进行曲,2,0,手
耗奇心,锦标赛,海平面,2,0,锦
西红柿,宇航员,氨基酸,2,0,宇
研究生,紫外线,交响悦,2,0,紫
介绍信,重要性,穿山甲,2,0,重
检察官,工艺品,氨基酸,2,0,工
自然界,猫头鹰,宇航员,2,0,猫
公安局,葡萄糖,销售额,2,0,葡
直辖市,高利贷,检察官,2,0,高
奴隶制,介绍信,幼儿园,2,0,介
望远镜,内分泌,公安局,2,0,内
望远镜,党中央,婚姻法,2,0,党
公安局,方程式,幼儿园,2,0,方
创造力,单细胞,自然界,2,0,单
普通话,紫外线,奴隶制,2,2,线
责任感,研究生,电冰箱,2,2,生
马铃薯,同位素,出版社,2,2,素
会议室,手榴弹,冷空气,2,2,弹
锦标赛,高利贷,乒乓球,2,2,贷
奴隶制,病原体,荧光屏,2,2,体
马铃薯,参谋掌,奴隶制,2,2,掌
淋巴结,荧光屏,魔术师,2,2,屏
变压器,呼吸道,幼儿园,2,2,道
锦标赛,婚姻法,志愿军,2,2,法
多边形,国务院,科学家,2,2,院
会议室,党中央,代表团,2,2,央
单细胞,畜牧业,会议室,2,2,业
相对论,检察官,锦标赛,2,2,官
电冰箱,超声波,内分泌,2,2,波
相对论,穿山甲,普通话,2,2,甲
志愿军,主人翁,猫头鹰,2,2,翁
单细胞,写字台,蒸馏水,2,2,台
科学家,创造力,自然界,2,2,力
同位素,婚姻法,荧光屏,2,2,法
多边形,神经元,马铃薯,2,2,元
责任感,太阳能,病原体,2,2,能
写字台,魔术师,录音机,2,2,师
检察官,出版社,荧光屏,2,2,社
呼吸道,公安局,笔记本,2,2,局
多边形,录音机,西红柿,2,2,机
招待所,天花板,氨基酸,2,2,板
多边形,代表团,反动派,2,2,团
图书馆,责任感,公安局,2,2,感
主人翁,普通话,猫头鹰,2,2,话
方程式,俱乐部,研究生,2,2,部
会议室,介绍信,科学家,2,2,信
主人翁,暴风雨,乒乓球,2,2,雨
葡萄糖,变压器,望远镜,2,2,器
进行曲,视网膜,国务院,2,2,膜
党中央,奴隶制,介绍信,2,2,制
研究生,科学家,手榴弹,2,2,家
电冰箱,普通话,消费者,2,2,话
内分泌,猫头鹰,代表团,2,2,鹰
销售额,视网膜,幼儿园,2,2,膜
内分泌,魔术师,笔记本,2,2,师
望远镜,铁矿石,银河系,2,2,石
金黄色,高利贷,神经元,2,2,贷
葡萄糖,销售额,国务院,2,2,额
图书馆,交响悦,海平面,2,2,悦
高利贷,幼儿园,魔术师,2,2,园
工艺品,超声波,同位素,2,2,波
暴风雨,奴隶制,畜牧业,2,2,制
天花板,传叫士,暴风雨,2,2,士
党中央,催化剂,志愿军,2,2,剂
直辖市,乒乓球,写字台,2,2,球
公安局,猫头鹰,多边形,2,2,鹰
进行曲,蒸馏水,反动派,2,2,水
金黄色,科学家,魔术师,2,2,家
暴风雨,电冰箱,青哨年,2,2,箱
灵敏度,望远镜,公安局,2,2,镜
俱乐部,进行曲,交响悦,2,2,曲
幼儿园,氨基酸,男籽汉,2,2,酸
国务院,会议室,天花板,2,2,室
障碍物,直辖市,婚姻法,2,2,市
科学家,灵敏度,天花板,2,2,度
锦标赛,主人翁,参谋掌,2,2,翁
呼吸道,消费者,金黄色,2,2,者
乒乓球,笔记本,会议室,2,2,本
超声波,反动派,蒸馏水,2,2,派
图书馆,录音机,灵敏度,2,2,机
锦标赛,相对论,会议室,2,2,论
紫外线,单细胞,超声波,2,2,胞
婚姻法,手榴弹,责任感,2,2,弹
进行曲,出版社,俱乐部,2,2,社
淋巴结,天花板,西红柿,2,2,板
代表团,介绍信,障碍物,2,2,信
手榴弹,猫头鹰,相对论,3,0,相
写字台,进行曲,冷空气,3,0,冷
检察官,太阳能,多边形,3,0,多
氨基酸,科学家,研究生,3,0,研
图书馆,创造力,西红柿,3,0,西
相对论,重要性,银河系,3,0,银
创造力,视网膜,写字台,3,0,写
病原体,销售额,科学家,3,0,科
银河系,冷空气,男籽汉,3,0,男
笔记本,西红柿,神经元,3,0,神
太阳能,相对论,马铃薯,3,0,马
耗奇心,同位素,荧光屏,3,0,荧
变压器,科学家,录音机,3,0,录
催化剂,党中央,宇航员,3,0,宇
冷空气,银河系,笔记本,3,0,笔
婚姻法,病原体,西红柿,3,0,西
直辖市,海平面,国务院,3,0,国
呼吸道,锦标赛,电冰箱,3,0,电
招待所,视网膜,奴隶制,3,0,奴
银河系,葡萄糖,紫外线,3,0,紫
穿山甲,病原体,超声波,3,0,超
暴风雨,氨基酸,党中央,3,0,党
方程式,催化剂,内分泌,3,0,内
淋巴结,穿山甲,图书馆,3,0,图
介绍信,宇航员,代表团,3,0,代
神经元,工艺品,主人翁,3,0,主
单细胞,检察官,催化剂,3,0,催
葡萄糖,参谋掌,望远镜,3,0,望
障碍物,研究生,直辖市,3,0,直
同位素,传叫士,志愿军,3,0,志
工艺品,图书馆,天花板,3,0,天
高利贷,超声波,普通话,3,0,普
变压器,铁矿石,交响悦,3,0,交
青哨年,荧光屏,铁矿石,3,0,铁
高利贷,障碍物,俱乐部,3,0,俱
催化剂,科学家,电冰箱,3,0,电
宇航员,奴隶制,淋巴结,3,0,淋
参谋掌,冷空气,销售额,3,0,销
相对论,灵敏度,暴风雨,3,0,暴
介绍信,紫外线,荧光屏,3,0,荧
穿山甲,蒸馏水,国务院,3,0,国
普通话,冷空气,淋巴结,3,0,淋
方程式,蒸馏水,呼吸道,3,0,呼
出版社,宇航员,介绍信,3,0,介
紫外线,科学家,视网膜,3,0,视
穿山甲,责任感,方程式,3,0,方
蒸馏水,病原体,相对论,3,0,相
太阳能,普通话,重要性,3,0,重
代表团,障碍物,视网膜,3,0,视
检察官,锦标赛,海平面,3,0,海
重要性,介绍信,出版社,3,0,出
普通话,宇航员,创造力,3,0,创
电冰箱,党中央,天花板,3,0,天
呼吸道,志愿军,太阳能,3,0,太
责任感,视网膜,参谋掌,3,0,参
销售额,呼吸道,畜牧业,3,0,畜
录音机,太阳能,变压器,3,0,变
招待所,重要性,魔术师,3,0,魔
方程式,志愿军,呼吸道,3,0,呼
奴隶制,西红柿,普通话,3,0,普
俱乐部,相对论,高利贷,3,0,高
幼儿园,暴风雨,价值观,3,0,价
国务院,猫头鹰,催化剂,3,0,催
方程式,相对论,参谋掌,3,0,参
耗奇心,研究生,神经元,3,0,神
志愿军,变压器,太阳能,3,0,太
价值观,宇航员,乒乓球,3,0,乒
银河系,青哨年,变压器,3,0,变
男籽汉,西红柿,销售额,3,0,销
男籽汉,银河系,灵敏度,3,0,灵
催化剂,视网膜,消费者,3,0,消
紫外线,超声波,葡萄糖,3,0,葡
销售额,铁矿石,葡萄糖,3,1,萄
志愿军,氨基酸,代表团,3,1,表
方程式,招待所,冷空气,3,1,空
魔术师,写字台,反动派,3,1,动
传叫士,马铃薯,价值观,3,1,值
海平面,太阳能,淋巴结,3,1,巴
主人翁,研究生,出版社,3,1,版
录音机,检察官,蒸馏水,3,1,馏
招待所,图书馆,乒乓球,3,1,乓
参谋掌,价值观,内分泌,3,1,分
乒乓球,蒸馏水,检察官,3,1,察
呼吸道,海平面,工艺品,3,1,艺
交响悦,同位素,幼儿园,3,1,儿
研究生,销售额,猫头鹰,3,1,头
方程式,自然界,主人翁,3,1,人
太阳能,自然界,冷空气,3,1,空
会议室,重要性,手榴弹,3,1,榴
高利贷,内分泌,责任感,3,1,任
方程式,冷空气,写字台,3,1,字
魔术师,变压器,单细胞,3,1,细
介绍信,海平面,婚姻法,3,1,姻
同位素,重要性,参谋掌,3,1,谋
望远镜,紫外线,俱乐部,3,1,乐
单细胞,笔记本,相对论,3,1,对
同位素,方程式,催化剂,3,1,化
国务院,荧光屏,锦标赛,3,1,标
超声波,银河系,重要性,3,1,要
销售额,单细胞,耗奇心,3,1,奇
出版社,视网膜,灵敏度,3,1,敏
锦标赛,西红柿,介绍信,3,1,绍
耗奇心,参谋掌,奴隶制,3,1,隶
宇航员,马铃薯,太阳能,3,1,阳
手榴弹,障碍物,灵敏度,3,1,敏
灵敏度,金黄色,交响悦,3,1,响
自然界,病原体,会议室,3,1,议
天花板,写字台,穿山甲,3,1,山
同位素,图书馆,方程式,3,1,程
银河系,望远镜,重要性,3,1,要
葡萄糖,蒸馏水,病原体,3,1,原
主人翁,价值观,宇航员,3,1,航
氨基酸,重要性,视网膜,3,1,网
创造力,神经元,工艺品,3,1,艺
淋巴结,进行曲,代表团,3,1,表
内分泌,传叫士,研究生,3,1,究
奴隶制,灵敏度,氨基酸,3,1,基
代表团,望远镜,天花板,3,1,花
笔记本,写字台,党中央,3,1,中
出版社,创造力,银河系,3,1,河
创造力,穿山甲,多边形,3,1,边
笔记本,公安局,幼儿园,3,1,儿
太阳能,交响悦,病原体,3,1,原
手榴弹,紫外线,婚姻法,3,1,姻
单细胞,病原体,荧光屏,3,1,光
障碍物,奴隶制,图书馆,3,1,书
催化剂,研究生,耗奇心,3,1,奇
银河系,相对论,荧光屏,3,1,光
写字台,铁矿石,招待所,3,1,待
图书馆,暴风雨,消费者,3,1,费
葡萄糖,单细胞,宇航员,3,1,航
销售额,党中央,录音机,3,1,音
蒸馏水,青哨年,乒乓球,3,1,乓
普通话,自然界,海平面,3,1,平
传叫士,婚姻法,太阳能,3,1,阳
婚姻法,多边形,消费者,3,1,费
手榴弹,出版社,暴风雨,3,1,风
幼儿园,催化剂,紫外线,3,1,外
传叫士,研究生,多边形,3,1,边
国务院,反动派,畜牧业,3,1,牧
党中央,同位素,自然界,3,1,然
价值观,金黄色,主人翁,3,1,人
普通话,魔术师,猫头鹰,3,1,头
穿山甲,反动派,交响悦,3,1,响
